,won,goals,shots,hits,pim,C,D,LW,RW,p_away,p_home
2662,False,2,35,28,20,-2.0,-4.0,-2.0,-2.0,1,0
2663,True,4,31,36,18,3.0,4.0,0.0,3.0,0,1
2664,True,2,32,34,10,0.0,-2.0,-2.0,-1.0,1,0
2665,False,2,41,24,4,1.0,2.0,2.0,0.0,0,1
2666,True,3,25,24,4,1.0,2.0,2.0,0.0,1,0
2667,False,1,30,24,4,-4.0,-2.0,1.0,0.0,0,1
2668,False,3,32,15,20,-5.0,-5.0,-1.0,-4.0,1,0
2669,True,5,40,17,16,5.0,6.0,3.0,0.0,0,1
2670,True,4,36,21,16,2.0,6.0,4.0,3.0,1,0
2671,False,1,34,17,16,-2.0,-6.0,-5.0,-3.0,0,1
2672,False,3,31,20,19,0.0,1.0,0.0,-2.0,1,0
2673,True,3,23,31,19,3.0,0.0,-4.0,0.0,0,1
2674,False,3,38,33,4,-1.0,-4.0,-2.0,-3.0,1,0
2675,True,5,28,33,4,3.0,4.0,2.0,1.0,0,1
2676,True,4,29,14,6,3.0,6.0,2.0,4.0,1,0
2677,False,1,40,31,6,-4.0,-6.0,-3.0,-3.0,0,1
2678,True,5,24,26,33,3.0,2.0,0.0,0.0,1,0
2679,False,2,38,15,27,-2.0,-2.0,-3.0,2.0,0,1
2680,False,2,25,24,21,0.0,-2.0,-2.0,-1.0,1,0
2681,True,2,41,20,17,1.0,2.0,0.0,2.0,0,1
2682,True,4,33,31,4,0.0,0.0,-1.0,1.0,1,0
2683,False,2,36,36,10,0.0,0.0,1.0,-1.0,0,1
2684,False,1,25,27,20,-2.0,-4.0,-1.0,-3.0,1,0
2685,True,5,20,19,20,1.0,4.0,3.0,3.0,0,1
2686,True,2,31,3,10,1.0,2.0,1.0,1.0,1,0
2687,False,1,21,18,10,-1.0,-2.0,-1.0,-1.0,0,1
2688,True,3,27,18,6,3.0,6.0,3.0,3.0,1,0
2689,False,0,28,23,6,-3.0,-6.0,-3.0,-4.0,0,1
2690,False,1,24,10,6,-4.0,-8.0,-8.0,0.0,1,0
2691,True,5,36,24,6,8.0,10.0,2.0,0.0,0,1
2692,False,1,21,24,30,0.0,0.0,1.0,-1.0,1,0
2693,True,3,28,20,15,0.0,0.0,-1.0,1.0,0,1
2694,True,4,29,27,23,2.0,4.0,2.0,2.0,1,0
2695,False,2,36,15,23,-1.0,-4.0,-3.0,-2.0,0,1
2696,True,3,28,20,10,1.0,4.0,2.0,2.0,1,0
2697,False,2,28,19,10,-2.0,-4.0,-3.0,0.0,0,1
2698,False,1,19,28,8,-2.0,-4.0,-2.0,-2.0,1,0
2699,True,5,16,38,6,4.0,4.0,0.0,2.0,0,1
2700,True,4,41,36,16,3.0,4.0,1.0,2.0,1,0
2701,False,2,34,21,12,-2.0,-3.0,-2.0,-3.0,0,1
2702,False,0,34,31,12,-1.0,-2.0,0.0,-3.0,1,0
2703,True,4,23,21,10,1.0,2.0,0.0,2.0,0,1
2704,False,1,27,17,6,-1.0,-2.0,-1.0,-1.0,1,0
2705,True,2,35,20,6,1.0,2.0,1.0,1.0,0,1
2706,False,2,33,24,6,-3.0,-4.0,-3.0,0.0,1,0
2707,True,4,20,27,8,4.0,4.0,0.0,2.0,0,1
2708,False,0,31,48,33,-1.0,-2.0,-1.0,-1.0,1,0
2709,True,4,33,40,25,2.0,2.0,0.0,1.0,0,1
2710,False,2,19,42,4,-1.0,-2.0,0.0,-2.0,1,0
2711,True,3,34,29,8,0.0,2.0,3.0,-1.0,0,1
2712,False,3,20,21,17,1.0,0.0,-1.0,0.0,1,0
2713,True,4,23,46,13,-2.0,0.0,1.0,1.0,0,1
2714,False,3,33,26,8,-3.0,-5.0,-5.0,-3.0,1,0
2715,True,6,38,27,12,4.0,6.0,3.0,1.0,0,1
2716,False,1,33,16,6,0.0,-2.0,2.0,-5.0,1,0
2717,True,3,22,17,2,3.0,2.0,0.0,0.0,0,1
2718,True,3,30,15,10,1.0,3.0,0.0,1.0,1,0
2719,False,2,28,28,6,-1.0,-2.0,-2.0,0.0,0,1
2720,True,4,26,24,10,5.0,2.0,-1.0,-1.0,1,0
2721,False,3,25,33,8,-1.0,-2.0,0.0,-1.0,0,1
2722,False,2,23,34,2,-1.0,0.0,-1.0,2.0,1,0
2723,True,3,27,19,0,0.0,1.0,0.0,-1.0,0,1
2724,True,7,26,38,10,4.0,8.0,4.0,3.0,1,0
2725,False,1,31,31,16,-7.0,-8.0,-1.0,-3.0,0,1
2726,False,1,41,27,7,1.0,0.0,-1.0,0.0,1,0
2727,True,2,17,34,15,0.0,0.0,1.0,-1.0,0,1
2728,True,1,26,25,0,1.0,2.0,2.0,0.0,1,0
2729,False,0,15,18,2,-1.0,-2.0,-1.0,-1.0,0,1
2730,True,2,27,24,10,0.0,0.0,0.0,0.0,1,0
2731,False,1,36,21,8,0.0,0.0,0.0,0.0,0,1
2732,True,3,34,14,8,1.0,2.0,1.0,1.0,1,0
2733,False,2,43,18,16,-1.0,-2.0,-1.0,-1.0,0,1
2734,True,2,24,11,12,2.0,3.0,2.0,2.0,1,0
2735,False,0,25,14,6,-6.0,-4.0,0.0,0.0,0,1
2736,True,7,29,13,10,5.0,8.0,1.0,0.0,1,0
2737,False,3,30,19,20,-3.0,-5.0,-4.0,-3.0,0,1
2738,False,4,40,25,4,2.0,0.0,0.0,-2.0,1,0
2739,True,4,25,29,4,1.0,0.0,-1.0,0.0,0,1
2740,True,2,26,31,2,-1.0,0.0,0.0,1.0,1,0
2741,False,2,31,32,2,0.0,0.0,1.0,-1.0,0,1
2742,True,6,32,16,12,0.0,2.0,2.0,1.0,1,0
2743,False,4,38,39,23,-2.0,-2.0,0.0,-1.0,0,1
2744,False,3,26,18,10,-4.0,-4.0,-2.0,-2.0,1,0
2745,True,6,32,17,6,3.0,5.0,1.0,1.0,0,1
2746,False,4,28,24,8,0.0,0.0,-2.0,3.0,1,0
2747,True,5,32,39,12,0.0,-1.0,1.0,-1.0,0,1
2748,True,3,24,25,15,0.0,0.0,-2.0,2.0,1,0
2749,False,2,30,21,23,0.0,0.0,0.0,0.0,0,1
2750,True,3,35,20,6,0.0,0.0,0.0,0.0,1,0
2751,False,2,30,27,10,0.0,0.0,0.0,0.0,0,1
2752,False,5,38,16,4,-1.0,-2.0,3.0,-4.0,1,0
2753,True,6,28,25,10,1.0,2.0,0.0,2.0,0,1
2754,False,4,35,27,2,-1.0,-2.0,5.0,-7.0,1,0
2755,True,4,37,26,8,1.0,2.0,0.0,2.0,0,1
2756,True,3,24,25,10,-1.0,-2.0,-1.0,0.0,1,0
2757,False,2,16,24,10,1.0,1.0,2.0,1.0,0,1
2758,False,1,30,21,6,-6.0,-8.0,-3.0,-3.0,1,0
2759,True,5,41,27,8,5.0,8.0,4.0,3.0,0,1
2760,True,2,37,17,2,3.0,2.0,0.0,0.0,1,0
2761,False,0,22,15,8,-1.0,-2.0,-1.0,-1.0,0,1
2762,False,0,27,18,63,-5.0,-8.0,-3.0,-4.0,1,0
2763,True,4,33,17,51,8.0,8.0,3.0,0.0,0,1
2764,False,1,30,20,6,0.0,0.0,-1.0,1.0,1,0
2765,True,1,36,31,6,0.0,0.0,0.0,0.0,0,1
2766,False,3,32,17,2,-1.0,-2.0,-1.0,0.0,1,0
2767,True,4,31,26,6,2.0,1.0,1.0,0.0,0,1
2768,True,5,25,28,10,1.0,4.0,3.0,2.0,1,0
2769,False,3,26,32,2,-2.0,-4.0,-3.0,-2.0,0,1
2770,False,4,23,9,10,-3.0,-4.0,-1.0,-2.0,1,0
2771,True,5,36,23,10,2.0,4.0,2.0,2.0,0,1
2772,False,1,36,14,6,-1.0,0.0,0.0,1.0,1,0
2773,True,1,22,28,6,0.0,0.0,1.0,-1.0,0,1
2774,True,4,36,21,20,1.0,-2.0,-4.0,0.0,1,0
2775,False,4,51,25,18,3.0,2.0,0.0,0.0,0,1
2776,False,1,28,21,6,-6.0,-5.0,-3.0,-2.0,1,0
2777,True,3,49,30,8,6.0,6.0,1.0,2.0,0,1
2778,True,4,33,14,10,1.0,2.0,0.0,2.0,1,0
2779,False,4,28,43,14,-3.0,-2.0,-1.0,1.0,0,1
2780,False,1,34,7,8,-2.0,-3.0,1.0,0.0,1,0
2781,True,2,19,16,2,-1.0,2.0,2.0,2.0,0,1
2782,True,4,30,21,8,3.0,6.0,2.0,4.0,1,0
2783,False,0,26,30,4,-3.0,-6.0,-5.0,-2.0,0,1
2784,True,3,39,15,21,2.0,2.0,1.0,0.0,1,0
2785,False,1,26,25,15,-2.0,-2.0,-2.0,0.0,0,1
2786,False,2,26,23,35,-3.0,-4.0,-2.0,-1.0,1,0
2787,True,5,35,24,18,2.0,4.0,1.0,3.0,0,1
2788,True,4,22,12,8,6.0,4.0,0.0,0.0,1,0
2789,False,2,23,19,2,-3.0,-4.0,-1.0,-2.0,0,1
2790,False,2,16,17,15,1.0,2.0,1.0,1.0,1,0
2791,True,3,29,19,13,-1.0,-2.0,-1.0,-1.0,0,1
2792,False,1,28,17,12,-6.0,-8.0,-5.0,-1.0,1,0
2793,True,5,38,22,10,3.0,8.0,6.0,3.0,0,1
2794,False,0,42,27,18,-3.0,-3.0,-3.0,-1.0,1,0
2795,True,2,31,20,10,1.0,4.0,1.0,3.0,0,1
2796,False,1,28,27,14,-7.0,-8.0,-3.0,-2.0,1,0
2797,True,6,29,29,12,8.0,8.0,1.0,3.0,0,1
2798,True,4,33,11,6,-2.0,-2.0,-2.0,0.0,1,0
2799,False,3,29,17,8,4.0,2.0,-1.0,0.0,0,1
2800,True,3,24,12,6,0.0,2.0,0.0,2.0,1,0
2801,False,1,45,19,4,-2.0,0.0,-2.0,-2.0,0,1
2802,True,3,28,30,6,2.0,4.0,0.0,3.0,1,0
2803,False,1,29,34,6,-3.0,-4.0,-2.0,-2.0,0,1
2804,False,2,33,13,101,0.0,0.0,1.0,-1.0,1,0
2805,True,2,33,20,103,0.0,0.0,0.0,0.0,0,1
2806,True,5,28,32,4,3.0,5.0,4.0,2.0,1,0
2807,False,1,41,25,6,-5.0,-6.0,-4.0,0.0,0,1
2808,True,1,29,23,2,-1.0,0.0,1.0,0.0,1,0
2809,False,1,33,17,0,-2.0,0.0,1.0,1.0,0,1
2810,True,4,28,24,8,2.0,4.0,0.0,3.0,1,0
2811,False,2,27,34,10,-2.0,-4.0,-2.0,-2.0,0,1
2812,False,1,21,25,4,-7.0,-4.0,0.0,0.0,1,0
2813,True,4,35,26,4,2.0,4.0,3.0,2.0,0,1
2814,False,1,26,19,27,-1.0,-2.0,0.0,-2.0,1,0
2815,True,2,32,23,17,1.0,2.0,1.0,1.0,0,1
2816,False,2,22,21,6,-1.0,0.0,1.0,0.0,1,0
2817,True,3,28,31,6,-1.0,-1.0,0.0,2.0,0,1
2818,False,1,27,20,8,-3.0,-6.0,-4.0,-2.0,1,0
2819,True,3,34,27,8,3.0,6.0,3.0,3.0,0,1
2820,True,3,18,24,13,2.0,0.0,-3.0,0.0,1,0
2821,False,2,25,25,13,2.0,0.0,-1.0,-2.0,0,1
2822,False,4,34,31,42,0.0,-3.0,-1.0,0.0,1,0
2823,True,4,36,30,20,4.0,1.0,-1.0,0.0,0,1
2824,False,1,30,23,27,-1.0,-4.0,-4.0,-1.0,1,0
2825,True,5,37,25,11,4.0,3.0,0.0,3.0,0,1
2826,False,2,25,20,11,-2.0,0.0,2.0,0.0,1,0
2827,True,3,35,17,5,0.0,-1.0,1.0,0.0,0,1
2828,True,5,38,13,6,-1.0,0.0,0.0,1.0,1,0
2829,False,5,44,17,19,1.0,0.0,-2.0,2.0,0,1
2830,True,7,23,21,29,5.0,6.0,4.0,0.0,1,0
2831,False,4,43,34,47,-5.0,-5.0,-4.0,-1.0,0,1
2832,False,2,26,15,4,-1.0,-4.0,-3.0,-2.0,1,0
2833,True,3,26,19,8,2.0,4.0,1.0,3.0,0,1
2834,False,1,22,30,6,-2.0,-2.0,-1.0,0.0,1,0
2835,True,3,40,17,6,1.0,2.0,-1.0,2.0,0,1
2836,False,2,33,25,6,-2.0,-2.0,-1.0,0.0,1,0
2837,True,2,32,44,6,1.0,2.0,0.0,2.0,0,1
2838,True,4,38,23,11,1.0,2.0,0.0,2.0,1,0
2839,False,3,27,49,9,-2.0,-2.0,-1.0,0.0,0,1
2840,False,2,34,38,4,1.0,0.0,-1.0,0.0,1,0
2841,True,2,37,36,8,-2.0,0.0,0.0,1.0,0,1
2842,True,6,22,15,4,3.0,2.0,-1.0,1.0,1,0
2843,False,5,29,26,4,1.0,-2.0,-1.0,-3.0,0,1
2844,True,4,29,25,14,4.0,6.0,3.0,1.0,1,0
2845,False,1,36,26,10,-3.0,-6.0,-4.0,-1.0,0,1
2846,False,2,41,27,8,-6.0,-7.0,-3.0,0.0,1,0
2847,True,4,21,26,8,3.0,6.0,3.0,3.0,0,1
2848,False,3,35,26,8,-2.0,-2.0,-2.0,2.0,1,0
2849,True,4,29,23,2,1.0,2.0,0.0,1.0,0,1
2850,False,4,20,39,12,1.0,-4.0,-7.0,-1.0,1,0
2851,True,7,35,27,8,6.0,4.0,0.0,0.0,0,1
2852,True,6,42,29,8,0.0,2.0,1.0,2.0,1,0
2853,False,5,43,43,6,3.0,-2.0,-4.0,-2.0,0,1
2854,False,3,39,28,16,4.0,4.0,2.0,0.0,1,0
2855,True,4,27,21,13,-4.0,-4.0,-1.0,-1.0,0,1
2856,False,2,27,38,9,-8.0,-8.0,-1.0,-4.0,1,0
2857,True,4,22,33,11,6.0,8.0,2.0,4.0,0,1
2858,False,3,40,22,11,-2.0,-2.0,0.0,-1.0,1,0
2859,True,4,38,14,15,1.0,2.0,1.0,1.0,0,1
2860,True,1,23,14,6,0.0,0.0,0.0,0.0,1,0
2861,False,0,26,10,6,0.0,0.0,0.0,0.0,0,1
2862,False,3,25,13,19,0.0,0.0,0.0,-1.0,1,0
2863,True,5,32,16,11,4.0,0.0,-3.0,0.0,0,1
2864,False,0,28,34,11,-3.0,-5.0,-5.0,-3.0,1,0
2865,True,3,38,37,9,8.0,6.0,1.0,0.0,0,1
2866,True,5,33,35,4,3.0,4.0,0.0,3.0,1,0
2867,False,2,45,48,2,-4.0,-4.0,-3.0,0.0,0,1
2868,False,3,35,21,4,-5.0,-5.0,-1.0,0.0,1,0
2869,True,6,29,26,6,5.0,4.0,-2.0,3.0,0,1
2870,False,0,10,41,19,-4.0,-6.0,-2.0,-3.0,1,0
2871,True,4,37,32,11,4.0,6.0,3.0,2.0,0,1
2872,True,4,36,13,19,5.0,8.0,5.0,2.0,1,0
2873,False,0,32,13,11,-2.0,-8.0,-7.0,-3.0,0,1
2874,True,2,24,37,8,6.0,4.0,0.0,0.0,1,0
2875,False,0,54,17,6,-2.0,-4.0,-2.0,-2.0,0,1
2876,True,4,36,14,15,2.0,4.0,3.0,1.0,1,0
2877,False,3,33,28,9,-4.0,-4.0,-2.0,0.0,0,1
2878,False,2,32,20,14,-1.0,-2.0,0.0,-2.0,1,0
2879,True,5,27,32,10,2.0,2.0,0.0,1.0,0,1
2880,False,1,19,27,0,-1.0,-2.0,-1.0,0.0,1,0
2881,True,2,25,21,2,1.0,1.0,1.0,1.0,0,1
2882,True,2,28,28,10,1.0,2.0,1.0,1.0,1,0
2883,False,1,41,25,6,-1.0,-2.0,0.0,-2.0,0,1
2884,False,2,30,25,2,-3.0,-5.0,-4.0,-4.0,1,0
2885,True,5,45,20,8,7.0,6.0,3.0,0.0,0,1
2886,False,2,20,29,25,-5.0,-6.0,1.0,-5.0,1,0
2887,True,5,29,31,27,3.0,6.0,1.0,4.0,0,1
2888,False,1,33,41,4,-2.0,-6.0,-6.0,-3.0,1,0
2889,True,4,29,32,6,4.0,6.0,3.0,2.0,0,1
2890,True,5,32,32,12,3.0,6.0,0.0,5.0,1,0
2891,False,2,28,33,10,-5.0,-6.0,-4.0,0.0,0,1
2892,False,1,24,24,4,0.0,0.0,0.0,0.0,1,0
2893,True,2,28,10,6,0.0,0.0,1.0,-1.0,0,1
2894,True,6,30,25,15,1.0,2.0,0.0,2.0,1,0
2895,False,5,37,23,21,-1.0,-4.0,0.0,1.0,0,1
2896,False,1,22,24,12,0.0,0.0,-1.0,0.0,1,0
2897,True,2,25,24,6,0.0,0.0,0.0,1.0,0,1
2898,True,4,25,14,11,3.0,6.0,1.0,5.0,1,0
2899,False,1,20,34,19,-6.0,-6.0,-2.0,-2.0,0,1
2900,True,5,28,23,10,4.0,6.0,3.0,2.0,1,0
2901,False,2,29,19,6,-5.0,-6.0,-1.0,-4.0,0,1
2902,True,4,37,26,14,2.0,2.0,0.0,0.0,1,0
2903,False,2,27,38,14,-1.0,-1.0,-2.0,-2.0,0,1
2904,False,2,29,24,6,-1.0,-4.0,-4.0,-1.0,1,0
2905,True,5,24,23,2,0.0,3.0,1.0,6.0,0,1
2906,True,2,16,14,10,1.0,2.0,1.0,1.0,1,0
2907,False,0,34,13,4,-3.0,-2.0,0.0,-1.0,0,1
2908,True,4,23,27,13,2.0,4.0,1.0,2.0,1,0
2909,False,3,34,25,9,-2.0,-4.0,-3.0,0.0,0,1
2910,True,3,24,31,8,0.0,2.0,2.0,0.0,1,0
2911,False,2,39,29,4,1.0,-2.0,-2.0,-1.0,0,1
2912,False,0,25,38,8,-2.0,-5.0,-2.0,-1.0,1,0
2913,True,3,35,24,10,6.0,4.0,0.0,0.0,0,1
2914,False,1,27,33,6,-2.0,-2.0,-1.0,0.0,1,0
2915,True,1,25,49,6,1.0,2.0,1.0,1.0,0,1
2916,False,2,28,22,10,-5.0,-6.0,0.0,-4.0,1,0
2917,True,6,33,22,6,3.0,6.0,3.0,3.0,0,1
2918,False,2,37,14,12,0.0,-2.0,-3.0,-1.0,1,0
2919,True,4,17,27,8,0.0,2.0,3.0,0.0,0,1
2920,False,2,26,24,8,0.0,0.0,0.0,0.0,1,0
2921,True,3,31,39,4,2.0,0.0,-2.0,0.0,0,1
2922,False,1,27,26,8,-1.0,-5.0,-4.0,-6.0,1,0
2923,True,4,28,36,6,4.0,6.0,3.0,1.0,0,1
2924,True,3,21,7,6,3.0,4.0,2.0,1.0,1,0
2925,False,1,38,24,8,-2.0,-4.0,-2.0,-2.0,0,1
2926,True,4,42,22,6,5.0,4.0,1.0,0.0,1,0
2927,False,1,28,46,12,-2.0,-4.0,-3.0,-1.0,0,1
2928,False,3,31,28,21,-2.0,-4.0,-3.0,-2.0,1,0
2929,True,5,28,28,17,1.0,5.0,3.0,0.0,0,1
