,game_id,team_id,won,goals,shots,hits,pim,powerPlayOpportunities,powerPlayGoals,faceOffWinPercentage,giveaways,takeaways,Game_away,Game_home,Game_OT,Game_REG,Game_SO
274,2013030321,26,0,1,26,34,4,2,0,50.0,4,2,1,0,0,1,0
275,2013030321,16,1,3,20,25,4,2,1,50.0,3,6,0,1,0,1,0
276,2013030322,26,1,6,31,35,10,4,2,61.4,7,3,1,0,0,1,0
277,2013030322,16,0,2,25,23,10,4,1,38.6,9,4,0,1,0,1,0
278,2013030323,16,0,3,27,32,6,4,0,47.4,13,2,1,0,0,1,0
279,2013030323,26,1,4,32,26,8,3,1,52.6,12,5,0,1,0,1,0
280,2013030324,16,0,2,24,30,8,3,0,42.1,17,1,1,0,0,1,0
281,2013030324,26,1,5,21,33,8,3,2,57.9,19,4,0,1,0,1,0
282,2013030325,26,0,4,44,51,8,3,0,54.1,6,7,1,0,1,0,0
283,2013030325,16,1,5,45,40,6,4,1,45.9,14,7,0,1,1,0,0
284,2013030326,16,1,4,25,35,4,2,1,50.8,16,2,1,0,0,1,0
285,2013030326,26,0,3,29,48,4,2,1,49.2,17,2,0,1,0,1,0
286,2013030327,26,1,5,32,43,10,2,0,47.4,8,4,1,0,1,0,0
287,2013030327,16,0,4,41,28,4,5,2,52.6,8,5,0,1,1,0,0
288,2015030221,5,0,3,45,29,10,2,0,54.1,5,7,1,0,1,0,0
289,2015030221,15,1,4,35,43,6,4,0,45.9,8,5,0,1,1,0,0
290,2015030222,5,1,2,35,21,6,5,0,37.1,9,9,1,0,0,1,0
291,2015030222,15,0,1,24,31,12,2,1,62.9,10,12,0,1,0,1,0
292,2015030223,15,0,2,49,58,6,4,0,50.7,8,4,1,0,0,1,0
293,2015030223,5,1,3,23,25,8,3,0,49.3,5,11,0,1,0,1,0
294,2015030224,15,0,2,36,41,10,2,0,52.6,2,2,1,0,1,0,0
295,2015030224,5,1,3,33,47,8,4,0,47.4,13,5,0,1,1,0,0
296,2015030225,5,0,1,31,28,12,2,1,49.2,14,10,1,0,0,1,0
297,2015030225,15,1,3,19,26,6,5,2,50.8,13,11,0,1,0,1,0
298,2015030226,15,0,3,39,35,6,6,2,43.6,5,3,1,0,1,0,0
299,2015030226,5,1,4,42,43,12,3,2,56.4,9,8,0,1,1,0,0
300,2015030111,2,1,5,26,40,8,2,1,51.5,10,2,1,0,0,1,0
301,2015030111,13,0,4,46,39,6,3,1,48.5,8,4,0,1,0,1,0
302,2015030112,2,0,1,42,32,8,3,0,42.9,9,6,1,0,0,1,0
303,2015030112,13,1,3,31,22,12,1,0,57.1,13,7,0,1,0,1,0
304,2015030113,13,0,3,39,40,10,3,0,43.7,17,6,1,0,1,0,0
305,2015030113,2,1,4,39,48,8,4,2,56.3,24,15,0,1,1,0,0
306,2015030114,13,1,2,29,32,8,4,1,40.7,7,14,1,0,0,1,0
307,2015030114,2,0,1,27,28,8,4,1,59.3,10,7,0,1,0,1,0
308,2015030115,2,1,2,42,65,2,5,1,45.3,24,18,1,0,1,0,0
309,2015030115,13,0,1,48,34,10,1,0,54.7,16,19,0,1,1,0,0
310,2015030116,13,0,1,42,41,6,3,0,45.8,24,18,1,0,1,0,0
311,2015030116,2,1,2,51,45,6,3,0,54.2,29,9,0,1,1,0,0
312,2013030171,25,0,3,35,27,10,5,1,44.6,8,3,1,0,0,1,0
313,2013030171,24,1,4,35,28,10,5,2,55.4,13,4,0,1,0,1,0
314,2013030172,25,0,2,36,28,6,6,1,50.8,10,3,1,0,0,1,0
315,2013030172,24,1,3,19,40,12,3,0,49.2,10,7,0,1,0,1,0
316,2013030173,24,0,0,37,30,32,5,0,38.0,7,4,1,0,0,1,0
317,2013030173,25,1,3,22,34,26,3,0,62.0,15,8,0,1,0,1,0
318,2013030174,24,0,2,23,42,47,3,0,43.3,2,9,1,0,0,1,0
319,2013030174,25,1,4,26,30,35,3,0,56.7,15,10,0,1,0,1,0
320,2013030175,25,0,2,36,22,64,7,0,47.6,10,2,1,0,0,1,0
321,2013030175,24,1,6,23,40,57,6,4,52.4,8,6,0,1,0,1,0
322,2013030176,24,1,5,30,39,16,4,1,50.6,9,7,1,0,1,0,0
323,2013030176,25,0,4,24,35,12,5,1,49.4,13,9,0,1,1,0,0
324,2016030231,18,1,4,32,34,4,3,2,62.3,6,6,1,0,0,1,0
325,2016030231,19,0,3,30,36,8,1,0,37.7,4,7,0,1,0,1,0
326,2016030232,18,0,2,24,33,23,0,0,45.5,3,4,1,0,0,1,0
327,2016030232,19,1,3,20,24,2,5,1,54.5,7,4,0,1,0,1,0
328,2016030233,19,0,1,23,30,12,1,0,38.1,6,7,1,0,0,1,0
329,2016030233,18,1,3,34,34,8,3,0,61.9,20,5,0,1,0,1,0
330,2016030234,19,0,1,33,33,14,2,0,52.9,6,9,1,0,0,1,0
